"id_tiempo","id_fecha","id_estado_cielo","temperatura","sensacion_termica","racha_max","precipitacion","nieve","humedad_relativa","probabilidad_de_nieve","probabilidad_de_tormenta","direccion_viento","velocidad_del_viento","id_municipio"
384,30,2,29,30,15.0,0.0,0,50,0,55,NE,9,9
385,31,6,27,28,15.0,0.0,0,61,0,55,NE,8,9
386,32,6,25,25,16.0,0.0,0,70,0,55,N,10,9
387,33,6,24,24,10.0,0.0,0,79,0,25,NE,10,9
388,34,1,23,23,12.0,0.0,0,84,0,25,NE,7,9
389,35,6,22,22,20.0,0.0,0,87,0,25,NE,8,9
390,36,8,21,21,20.0,0.0,0,88,0,25,E,12,9
391,37,8,20,20,14.0,0.0,0,85,0,25,E,13,9
392,38,2,20,20,9.0,0.0,0,87,0,25,E,9,9
393,39,2,19,19,14.0,0.0,0,87,0,5,NE,6,9
394,40,6,19,19,14.0,0.0,0,89,0,5,E,10,9
395,41,5,18,18,15.0,0.0,0,91,0,5,NE,9,9
396,42,6,18,18,13.0,0.0,0,91,0,5,N,11,9
397,43,5,17,17,16.0,0.0,0,90,0,5,N,10,9
398,44,1,17,17,16.0,0.0,0,91,0,5,E,12,9
399,1,14,25,25,27.0,0.1,0,61,0,70,E,8,10
400,2,14,26,26,26.0,0.1,0,51,0,70,SE,14,10
401,3,3,26,26,28.0,0.1,0,52,0,70,SE,14,10
402,4,3,24,24,28.0,0.1,0,55,0,70,SE,16,10
403,5,3,26,26,29.0,0.1,0,46,0,70,S,15,10
404,6,11,27,27,48.0,0.1,0,41,0,70,S,16,10
405,7,7,24,24,31.0,0.1,0,52,0,70,S,30,10
406,8,7,20,20,15.0,0.1,0,51,0,70,SE,8,10
407,9,7,21,21,14.0,0.1,0,51,0,65,N,9,10
408,10,9,20,20,10.0,0.1,0,54,0,65,N,7,10
409,11,17,20,20,8.0,0.1,0,59,0,65,O,7,10
410,12,7,19,19,5.0,0.1,0,68,0,65,NO,5,10
