"id_lugar","id_municipio","id_categoria","nombre","direccion","distancia_al_centro"
566,92,1,Parque de San Jorge,"C/ Juan Ramón Jiménez, 28600 Navalcarnero Comunidad de Madrid",792.0
567,92,1,Parque de San Juan Bautista,"28600 Navalcarnero Comunidad de Madrid",1529.0
568,92,1,Parque Regional del Rio Guadarrama,Guadarrama Comunidad de Madrid,1639.0
569,92,2,La Casa de la Lonja,"Plazuela del Mercado, 18, 28600 Navalcarnero Madrid",139.0
570,94,1,El Tren de la Navidad,Fuenlabrada Comunidad de Madrid,449.0
571,98,1,Parque Infantil Nave Espacial,"28860 Paracuellos Comunidad de Madrid",298.0
572,98,1,Pinarillo AVM,"Avenida de Sombra de la Torre, 14, 28860 Paracuellos de Jarama Comunidad de Madrid",1122.0
573,98,1,Parque Infantil,"28860 Paracuellos de Jarama Comunidad de Madrid",1551.0
574,98,1,Canaima Park,Comunidad de Madrid,1699.0
575,99,1,Parque de la Ermita,"28981 Parla Comunidad de Madrid",568.0
576,99,1,Parque Vía de Ronda,Parla Comunidad de Madrid,610.0
577,99,1,Paseo Real,Principado de Asturias,635.0
578,99,1,Parque de la Garrapata,"C/ Mexico, 28980 Parla Comunidad de Madrid",642.0
579,99,1,parque de las Montañas,"28982  Comunidad de Madrid",748.0
580,99,1,Bichos,"Calle Toledo, 34, 28981 Parla Comunidad de Madrid",808.0
581,99,1,Rayuela,"Isaac Albéniz, 16, 28981 Parla Comunidad de Madrid",846.0
582,99,1,Paseo Marítimo Perruno,"28983 Parla Comunidad de Madrid",915.0
583,99,1,Parque de la Ballena,"Calle Real, s/n, Parla Comunidad de Madrid",1021.0
584,99,1,Nanitos y Pelusas,"Calle Icíar Bollaín, 3, 28981 Parla Comunidad de Madrid",1172.0
585,99,1,Parque Parla Este,Parla Comunidad de Madrid,1475.0
586,99,1,Parque del Universo,Madrid,1650.0
587,99,1,La Jungla Perdida,"Turin, s/n, 28983 Parla Comunidad de Madrid",1658.0
588,99,1,Parque de las primeras citas,N/A,1905.0
589,100,2,Patones de Arriba,Patones Madrid,1467.0
590,106,1,Parque Juan Carlos I,"Calle Pablo Picasso, s/n, 28320 Pinto Comunidad de Madrid",464.0
591,106,1,Plaza Ocho de Marzo,Comunidad de Madrid,302.0
592,106,1,Plaza de la Rábida,"Pza. de la Rábida, s/n, 28329 Pinto Comunidad de Madrid",327.0
593,106,1,Parque Municipal Nicolás Fuster,"Doce de Octubre, 28320 Pinto Comunidad de Madrid",474.0
594,106,1,Parque Exacta Pares,"28320 Pinto Comunidad de Madrid",710.0
595,106,1,Parque Norte,Comunidad de Madrid,866.0
596,106,1,Pequeteca,"Plaza David Martín, 1, 28320 Pinto Comunidad de Madrid",971.0
597,106,1,Pinto Pinto Gorgorito,"Calle Italia, 14, 28320 Pinto Comunidad de Madrid",1247.0
598,106,1,Parque del Cementerio,"28320 Pinto Comunidad de Madrid",1471.0
599,106,1,Parque Alcalde Gabriel Martín Santos,Pinto Comunidad de Madrid,1627.0
600,106,1,Parque Infantil Chichopark,"Salvador Dalí, 12, 28320 Pinto Madrid",364.0
601,106,1,Palmas Palmitas,"Calle Navarra, 4, 28320 Pinto Madrid",925.0
